planSource,curated_type,notes,source_type,volume_Mgal,operator_clean,dep_score,dep_src,dep_type
Louis Water Impooundment,impoundment,,ambiguous,0,chesapeake appalachia,66.6666666667,RES IMPOUNDMENT,surface_water
CHK Hoover Water Impoindment,impoundment,,ambiguous,0,chesapeake appalachia,66.6666666667,RAIN WATER,surface_water
CHK Beirne Water Impoindment,impoundment,,ambiguous,0,chesapeake appalachia,66.6666666667,RAIN WATER,surface_water
Solanick,impoundment,,ambiguous,0,bkv opr,55.5555555556,SLACKS RUN,surface_water
W60,impoundment,,ambiguous,0.01,pennenergy resources,50,W60R (WELL),groundwater
Storage Tanks/Rain,impoundment,,ambiguous,5.31,rockdale marcellus,73.6842105263,STORAGE WELL,groundwater
Shell Fresh - Goodwin and Eggleston Source,impoundment,,ambiguous,2.36,jklm energy,66.6666666667,GOODWIN QUARRY INTC,interconnection
Containment,impoundment,,ambiguous,0.36,eqt chap,59.2592592593,EXCO IMPOUNDMENT,surface_water
Veselich Above Storage Tank,impoundment,,ambiguous,0.24,xto energy,73.6842105263,STORAGE WELL,groundwater
6. Containment,impoundment,,ambiguous,0.12,eqt chap,57.1428571429,SEDIMENT POND 1,surface_water
5. Containment Water,impoundment,,ambiguous,0.06,eqt chap,68.4210526316,MOUNTAIN WATER ASSN INTC,interconnection
5. Storage Tanks/Rain,impoundment,,ambiguous,0.05,rockdale marcellus,73.6842105263,STORAGE WELL,groundwater
6. Containment Water,impoundment,,ambiguous,0.04,eqt chap,68.4210526316,MOUNTAIN WATER ASSN INTC,interconnection
6. Forwarded Freshwater,impoundment,,ambiguous,0,eqt chap,63.6363636364,BAILEY FRESHWATER POND,surface_water
Willimsport Municiple (Lundy),interconnection,,ambiguous,40.02,eqt aro,78.2608695652,MUNICIPLE POND,surface_water
Healthy Properties Take Point,interconnection,,ambiguous,19.19,blackhill energy,76.5957446809,HEALTHY PROPERTIES INC SUGAR CREEK INTC,interconnection
SW PA Water Auhtority- Source #18,interconnection,,ambiguous,0,eqt chap,76.1904761905,PA AMER WATER INTC,interconnection
MESHIPPEN BOROUGH WATER CO,interconnection,,ambiguous,0.48,swn prod co,78.431372549,HUGHESVILLE BORO WATER CO INTC,interconnection
Ken Black TWL and Pump Pad,reuse,,ambiguous,91.97,laurel mountain production,62.2222222222,PUMP AND TREAT WELL,groundwater
Various PGE Pads,reuse,,ambiguous,23.87,pa gen energy co,51.8518518519,PRITTS DIST,surface_water
SENECA OPERATED SITES,reuse,,ambiguous,8.61,swn prod co,62.5,SENECA RES CORP MARSH CREEK INTC,interconnection
JKLM OPERATED SITES,reuse,,ambiguous,7.22,swn prod co,55.5555555556,RV SITES WELL,groundwater
ROCKDALE OPERATED SITES,reuse,,ambiguous,6.78,swn prod co,55.8139534884,CROOKED CREEK SITE 2,surface_water
ALTA OPERATED SITES,reuse,,ambiguous,4.57,swn prod co,56.4102564103,WEST EARL WATER AUTH,interconnection
REPSOL OPERATED SITES,reuse,,ambiguous,4.17,swn prod co,58.8235294118,RV SITES WELL,groundwater
Onsite Treated,reuse,,ambiguous,3.8,eqt chap,66.6666666667,APPALACHIA WATER SVCS TREATED EFFLUENT INTC,interconnection
LWI,reuse,,ambiguous,3.44,inflection energy,54.5454545455,SWEPI LP INTC,interconnection
Brin/Frac,reuse,,ambiguous,3.37,eqt chap,70.5882352941,HFR BARN,groundwater
Various Other Operators Pads,reuse,,ambiguous,3.28,pa gen energy co,54.2372881356,PA AMER WATER CO CANTON MTR VLT SOURCE 147 INTC,interconnection
Seneca Operated Sites,reuse,,ambiguous,3.16,swn prod co,62.5,SENECA RES CORP MARSH CREEK INTC,interconnection
TI-07 Cupper Pad,reuse,,ambiguous,2.99,swn prod co,51.4285714286,PA AMER WATER INTC 35371,interconnection
TI-09 BROWN PAD,reuse,,ambiguous,2.84,swn prod co,51.8518518519,POND 9 LOWER,surface_water
JKLM Operated Sites,reuse,,ambiguous,2.73,swn prod co,55.5555555556,RV SITES WELL,groundwater
RANGE OPERATED SITES,reuse,,ambiguous,2.64,swn prod co,65.1162790698,RANGE RES (PA AMER PITTS SOURCE 86) INTC,interconnection
Alta Operated Sites,reuse,,ambiguous,2.16,swn prod co,56.4102564103,WEST EARL WATER AUTH,interconnection
BEECH RESOURCES OPERATED SITES,reuse,,ambiguous,2.02,swn prod co,75,RANGE RESOURCES INTC,interconnection
FLOHS PAD,reuse,,ambiguous,1.21,swn prod co,60,FULTON POND,surface_water
TI-46 BLISS PAD,reuse,,ambiguous,1.19,swn prod co,51.6129032258,016-PUBLIC WATER INTC,interconnection
11. Seneca Operated Sites,reuse,,ambiguous,1.05,swn prod co,58.8235294118,SENECA RES CORP MARSH CREEK INTC,interconnection
6. TI-07 Cupper Pad,reuse,,ambiguous,1.03,swn prod co,50,POND 2 (HOLE 17 WEST COURSE),surface_water
4. TI-09 Brown Pad,reuse,,ambiguous,0.93,swn prod co,54.5454545455,SPRING 4&5 (ORSON),groundwater
6. Onsite Treated,reuse,,ambiguous,0.83,eqt chap,60.8695652174,APPALACHIA WATER SVCS TREATED EFFLUENT INTC,interconnection
TI-09 Brown Pad,reuse,,ambiguous,0.82,swn prod co,51.8518518519,POND 9 LOWER,surface_water
RU-55 CONKLIN PAD,reuse,,ambiguous,0.73,swn prod co,55.1724137931,COOLING PUMP,surface_water
LU-05 LOCH PAD,reuse,,ambiguous,0.73,swn prod co,55.1724137931,MULCH YARD WELL,groundwater
4. Alta Operated Sites,reuse,,ambiguous,0.72,swn prod co,55.5555555556,RV SITES WELL,groundwater
8. JKLM Operated Sites,reuse,,ambiguous,0.68,swn prod co,55.5555555556,RV SITES WELL,groundwater
3. Various PGE Pads,reuse,,ambiguous,0.58,pa gen energy co,55.8139534884,WI BLDG 30 APPAREL WAREHOUSE INTC,interconnection
CHK Mcdonough Pad,reuse,,ambiguous,0.54,chesapeake appalachia,60.6060606061,CONESTOGA CK DIV,surface_water
CHK Kipar Pad,reuse,,ambiguous,0.49,chesapeake appalachia,58.3333333333,SKIPPACK CR,surface_water
CHK Johnson Pad,reuse,,ambiguous,0.44,chesapeake appalachia,72.2222222222,PLANT 1 JOHNSON CREEK,surface_water
NR-02 ENDLESS MOUNTAIN RECREATION PAD,reuse,,ambiguous,0.38,swn prod co,76.1904761905,1049 MOUNTAIN,groundwater
CHK Bim Pad,reuse,,ambiguous,0.36,chesapeake appalachia,61.5384615385,BIG SANDY CREEK,surface_water
